metric,method,value,unit,data,variables,location,forest,details,year,title
r^2,adaboost,0.37,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,adaboost,0.93,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,adaboost,55.44,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,nn,0.673,,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,ann,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
mae,nn,101.5,mg/ha,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,ann,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
relative rmse,nn,18.01,,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,ann,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
r^2,nn,0.601,,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,ann,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
rmse,nn,35.909,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,ann,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
me,nn,0.039,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,ann,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
mae,nn,27.767,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,ann,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
r^2,baggeddt,0.38,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,baggeddt,0.93,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,baggeddt,55.23,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,cart,0.31,,eo-1,"bands,vi,bpv","Ecological Station of Águas Emendadas, Brazil",savanna forests,savannas,2021,Aboveground biomass estimates over Brazilian savannas using hyperspectral metrics and machine learning models: experiences with Hyperion/EO-1
bias,cart,0.86,t/ha,"alos,landsat","backscatter,bands,polar,vi","Cerrado, Brazil",Savanna forests,,2021,Mapping the stock and spatial distribution of aboveground woody biomass in the native vegetation of the Brazilian Cerrado biome
rmse,cart,40.35,t/ha,"alos,landsat","backscatter,bands,polar,vi","Cerrado, Brazil",Savanna forests,,2021,Mapping the stock and spatial distribution of aboveground woody biomass in the native vegetation of the Brazilian Cerrado biome
relative rmse,cart,63,,"alos,landsat","backscatter,bands,polar,vi","Cerrado, Brazil",Savanna forests,,2021,Mapping the stock and spatial distribution of aboveground woody biomass in the native vegetation of the Brazilian Cerrado biome
